&#160;	&#160;	Term	Count	Trend
		saucer	9	0.015517241,0
		size	9	0.015517241,0
		object	7	0.0120689655,0
		ufo	7	0.005172414,0.011764706
		martin	6	0.010344828,0
		strange	6	0.00862069,0.0029411765
		1878	5	0.00862069,0
		flying	5	0.0068965517,0.0029411765
		mr	5	0.0068965517,0.0029411765
		ball	4	0,0.011764706
		dark	4	0.005172414,0.0029411765
		denison	4	0.0068965517,0
		january	4	0.0068965517,0
		miners	4	0,0.011764706
		phenomenon	4	0.005172414,0.0029411765
		saw	4	0.005172414,0.0029411765
		sky	4	0.005172414,0.0029411765
		1880s	3	0,0.00882353
		appeared	3	0.005172414,0
		attention	3	0.005172414,0
		balloon	3	0.005172414,0
		bentley	3	0,0.00882353
		farmer	3	0.005172414,0
		john	3	0.005172414,0
		large	3	0.0034482758,0.0029411765
		left	3	0.0017241379,0.005882353
		poachers	3	0,0.00882353
		shape	3	0.005172414,0
		sighting	3	0.0034482758,0.0029411765
		story	3	0.0017241379,0.005882353
		article	2	0.0034482758,0
		behind	2	0.0017241379,0.0029411765
		belonging	2	0,0.005882353
		case	2	0.0017241379,0.0029411765
		collect	2	0,0.005882353
		considerably	2	0.0034482758,0
		daily	2	0.0034482758,0
		dared	2	0,0.005882353
		describe	2	0.0034482758,0
		described	2	0.0034482758,0
		eyes	2	0.0034482758,0
		flame	2	0,0.005882353
		following	2	0.0017241379,0.0029411765
		going	2	0.0034482758,0
		great	2	0.0034482758,0
		height	2	0.0034482758,0
		high	2	0.0034482758,0
		hunting	2	0.0034482758,0
		increased	2	0.0034482758,0
		information	2	0.0034482758,0
		james	2	0,0.005882353
		journalist	2	0.0034482758,0
		land	2	0,0.005882353
		light	2	0.0034482758,0
		like	2	0.0034482758,0
		mold	2	0,0.005882353
		near	2	0,0.005882353
		news	2	0.0034482758,0
		newspaper	2	0.0034482758,0
		noticed	2	0.0034482758,0
		old	2	0.0034482758,0
		orange	2	0.0034482758,0
		padeswood	2	0,0.005882353
		report	2	0.0034482758,0
		reports	2	0.0034482758,0
		rest	2	0.0034482758,0
		scientists	2	0.0034482758,0
		smoke	2	0,0.005882353
		southern	2	0.0034482758,0
		space	2	0.0017241379,0.0029411765
		swirling	2	0,0.005882353
		term	2	0.0034482758,0
		texas	2	0.0034482758,0
		time	2	0.0034482758,0
		tongues	2	0,0.005882353
		water	2	0.0034482758,0
		witness	2	0.0034482758,0
		1880	1	0,0.0029411765
		1947	1	0.0017241379,0
		1950	1	0.0017241379,0
		according	1	0,0.0029411765
		accurate	1	0.0017241379,0
		afraid	1	0,0.0029411765
		age	1	0,0.0029411765
		air	1	0,0.0029411765
		approach	1	0.0017241379,0
		arnold	1	0.0017241379,0
		arnolds	1	0.0017241379,0
		aspect	1	0.0017241379,0
		assumption	1	0,0.0029411765
		base	1	0,0.0029411765
		became	1	0.0017241379,0
		believe	1	0.0017241379,0
		black	1	0,0.0029411765
		blind	1	0.0017241379,0
		book	1	0.0017241379,0
		boothreferences	1	0.0017241379,0
		bouncing	1	0.0017241379,0
		bravest	1	0,0.0029411765
		buckley	1	0,0.0029411765
		bunch	1	0,0.0029411765
		caught	1	0,0.0029411765
		causing	1	0,0.0029411765
		centuries	1	0,0.0029411765
		character	1	0.0017241379,0
		check	1	0.0017241379,0
		circle	1	0,0.0029411765
		city	1	0.0017241379,0
		clear	1	0.0017241379,0
		closer	1	0.0017241379,0
		clwyd	1	0,0.0029411765
		coal	1	0,0.0029411765
		come	1	0.0017241379,0
		common	1	0,0.0029411765
		commonplace	1	0.0017241379,0
		conjecture	1	0,0.0029411765
		continued	1	0.0017241379,0
		course	1	0.0017241379,0
		covering	1	0.0017241379,0
		crept	1	0,0.0029411765
		data	1	0.0017241379,0
		daylight	1	0.0017241379,0
		days	1	0,0.0029411765
		descended	1	0,0.0029411765
		describes	1	0.0017241379,0
		deserves	1	0.0017241379,0
		directed	1	0.0017241379,0
		directly	1	0.0017241379,0
		discover	1	0.0017241379,0
		disks	1	0.0017241379,0
		disturbed	1	0,0.0029411765
		donald	1	0.0017241379,0
		earlier	1	0.0017241379,0
		easily	1	0.0017241379,0
		encountered	1	0,0.0029411765
		eves	1	0.0017241379,0
		eviction	1	0,0.0029411765
		evidently	1	0.0017241379,0
		exist	1	0.0017241379,0
		expedition	1	0.0017241379,0
		explains	1	0,0.0029411765
		eye	1	0,0.0029411765
		fast	1	0.0017241379,0
		feeling	1	0,0.0029411765
		felt	1	0,0.0029411765
		field.at	1	0,0.0029411765
		fields	1	0,0.0029411765
		flew	1	0.0017241379,0
		food	1	0,0.0029411765
		gang	1	0,0.0029411765
		gazing	1	0.0017241379,0
		gear	1	0,0.0029411765
		gentleman	1	0.0017241379,0
		glancing	1	0,0.0029411765
		got	1	0.0017241379,0
		grass	1	0,0.0029411765
		grew	1	0.0017241379,0
		ground	1	0,0.0029411765
		grow	1	0.0017241379,0
		guides	1	0,0.0029411765
		hand	1	0.0017241379,0
		heads	1	0,0.0029411765
		heard	1	0,0.0029411765
		heavenly	1	0.0017241379,0
		hedge	1	0,0.0029411765
		hid	1	0,0.0029411765
		historian	1	0,0.0029411765
		history	1	0,0.0029411765
		holland	1	0,0.0029411765
		home	1	0,0.0029411765
		hovering	1	0,0.0029411765
		http	1	0,0.0029411765
		interpreted	1	0.0017241379,0
		interview	1	0.0017241379,0
		issuing	1	0,0.0029411765
		judge	1	0.0017241379,0
		june	1	0.0017241379,0
		kenneth	1	0.0017241379,0
		kept	1	0,0.0029411765
		keyhoe	1	0.0017241379,0
		knows	1	0.0017241379,0
		lack	1	0.0017241379,0
		lacking	1	0.0017241379,0
		later	1	0,0.0029411765
		learn	1	0.0017241379,0
		lessening	1	0,0.0029411765
		lifting	1	0,0.0029411765
		lights	1	0,0.0029411765
		lives	1	0.0017241379,0
		local	1	0.0017241379,0
		long	1	0.0017241379,0
		long.one	1	0,0.0029411765
		looking	1	0.0017241379,0
		lost	1	0.0017241379,0
		luminous	1	0,0.0029411765
		major	1	0.0017241379,0
		maybe	1	0.0017241379,0
		meant	1	0,0.0029411765
		men	1	0,0.0029411765
		miles	1	0.0017241379,0
		misquoted	1	0.0017241379,0
		missing	1	0.0017241379,0
		modern	1	0,0.0029411765
		moonless	1	0,0.0029411765
		morning	1	0.0017241379,0
		movement	1	0.0017241379,0
		mysterious	1	0.0017241379,0
		nets	1	0,0.0029411765
		night	1	0,0.0029411765
		northeast	1	0,0.0029411765
		number	1	0,0.0029411765
		objects	1	0.0017241379,0
		observed	1	0.0017241379,0
		occurrence	1	0.0017241379,0
		older	1	0.0017241379,0
		oral	1	0,0.0029411765
		order	1	0.0017241379,0
		overhead	1	0.0017241379,0
		owners	1	0,0.0029411765
		packing	1	0,0.0029411765
		padeswood_ufo.shtml	1	0,0.0029411765
		pages	1	0,0.0029411765
		panic.there	1	0,0.0029411765
		peculiar	1	0.0017241379,0
		peer	1	0,0.0029411765
		poaching	1	0,0.0029411765
		popular	1	0.0017241379,0
		possible	1	0.0017241379,0
		possibly	1	0,0.0029411765
		previously	1	0,0.0029411765
		project	1	0,0.0029411765
		purplish	1	0,0.0029411765
		quite	1	0.0017241379,0
		ran	1	0,0.0029411765
		rapidly	1	0.0017241379,0
		real	1	0.0017241379,0
		red	1	0,0.0029411765
		refer	1	0.0017241379,0
		references:reference	1	0,0.0029411765
		reflective	1	0.0017241379,0
		relatives	1	0,0.0029411765
		reliability	1	0.0017241379,0
		reported	1	0.0017241379,0
		resembled	1	0.0017241379,0
		resuming	1	0.0017241379,0
		ret	1	0.0017241379,0
		returned	1	0,0.0029411765
		richard	1	0,0.0029411765
		risk	1	0,0.0029411765
		riveted	1	0.0017241379,0
		saucers	1	0.0017241379,0
		scorched	1	0,0.0029411765
		secrecy	1	0,0.0029411765
		seen	1	0,0.0029411765
		sent	1	0,0.0029411765
		shaped	1	0.0017241379,0
		shortly	1	0,0.0029411765
		sight	1	0.0017241379,0
		sign	1	0,0.0029411765
		silently	1	0,0.0029411765
		silvery	1	0.0017241379,0
		similar	1	0.0017241379,0
		skies	1	0.0017241379,0
		skipped	1	0.0017241379,0
		small	1	0,0.0029411765
		snares	1	0,0.0029411765
		solid	1	0.0017241379,0
		soon	1	0.0017241379,0
		source	1	0,0.0029411765
		south	1	0.0017241379,0
		speed	1	0.0017241379,0
		starved	1	0,0.0029411765
		strained	1	0.0017241379,0
		striking	1	0,0.0029411765
		suddenly	1	0,0.0029411765
		surface	1	0.0017241379,0
		surroundings	1	0.0017241379,0
		tense	1	0,0.0029411765
		tension	1	0,0.0029411765
		terms	1	0.0017241379,0
		terrified	1	0,0.0029411765
		texan	1	0.0017241379,0
		text	1	0.0017241379,0
		thought	1	0.0017241379,0
		thrown	1	0.0017241379,0
		times	1	0.0017241379,0
		title	1	0.0017241379,0
		today	1	0,0.0029411765
		transportation	1	0,0.0029411765
		tuesday	1	0.0017241379,0
		turned	1	0,0.0029411765
		ufos	1	0,0.0029411765
		undoubted	1	0.0017241379,0
		used	1	0.0017241379,0
		velocity	1	0.0017241379,0
		veracity	1	0.0017241379,0
		view	1	0.0017241379,0
		viewing	1	0.0017241379,0
		vowed	1	0,0.0029411765
		wages	1	0,0.0029411765
